last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
GONZÁLEZ CASARES,Nicolás,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@nicogoncas,83.06,31.83,57
BUZEK,Jerzy,Group of the European People's Party (Christian Democrats),Poland,@JerzyBuzek,79.54,35.01,57
KELLER,Fabienne,Renew Europe Group,France,@fabienne_keller,84.39,29.97,57
FEDERLEY,Fredrick,Renew Europe Group,Sweden,@federley,63.7,50.13,57
PETERSEN,Morten,Renew Europe Group,Denmark,@mortenhelveg,74.26,39.52,57
FLANAGAN,Luke Ming,Group of the European United Left - Nordic Green Left,Ireland,@lukeming,86.17,27.59,57
LALUCQ,Aurore,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@AuroreLalucq,87.9,25.46,57
LÓPEZ,Javi,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@javilopezEU,77.59,35.01,56
RIVASI,Michèle,Group of the Greens/European Free Alliance,France,@MicheleRivasi,91.67,20.42,56
LINS,Norbert,Group of the European People's Party (Christian Democrats),Germany,@LinsNorbert,50.13,61.54,56
BAUZÁ DÍAZ,José Ramón,Renew Europe Group,Spain,@JRBauza,74.31,37.14,56
LARROUTUROU,Pierre,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@larrouturou,91.28,19.1,55
ANDRESEN,Rasmus,Group of the Greens/European Free Alliance,Germany,@RasmusAndresen,92.65,16.98,55
FUGLSANG,Niels,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,@NielsFuglsang,74.54,35.01,55
VAN BREMPT,Kathleen,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,@kvanbrempt,81.94,27.59,55
GARCÍA PÉREZ,Iratxe,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@IratxeGarper,73.95,35.28,55
DURAND,Pascal,Renew Europe Group,France,@PDurandOfficiel,78.09,31.03,55
ZORRINHO,Carlos,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@czorrinho,69.11,39.52,54
LANGE,Bernd,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@berndlange,74.39,33.95,54
VERHOFSTADT,Guy,Renew Europe Group,Belgium,@GuyVerhofstadt,80.7,27.59,54
MODIG,Silvia,Group of the European United Left - Nordic Green Left,Finland,@silviamodig,73.19,35.01,54
PAPADIMOULIS,Dimitrios,Group of the European United Left - Nordic Green Left,Greece,@papadimoulis,81.25,26.53,54
